-1,-1, 5
165.43,29.97
163.84,31.37
169.96,32.59
171.87,31.37
165.43,29.97
-2,-2
-1,-1, 7
168.13,7.41
212.05,7.41
255.98,7.41
265.75,-0.02
214.16,-0.02
162.58,-0.02
168.13,7.41
-2,-2
-1,-1, 7
192.62,40.02
202.92,40.02
213.21,40.02
213.69,39.66
203.02,39.66
192.36,39.66
192.62,40.02
-2,-2
-1,-1, 7
190.75,37.53
203.61,37.53
216.48,37.53
217.22,36.96
203.78,36.96
190.33,36.96
190.75,37.53
-2,-2
-1,-1, 7
192.62,40.02
194.21,40.02
190.38,33.42
171.55,0.96
163.75,0.96
187.74,33.42
192.62,40.02
-2,-2
-1,-1, 7
211.54,40.01
213.13,40.01
221.83,33.39
264.76,0.73
256.93,0.73
219.19,33.39
211.54,40.01
-2,-2
-1,-1, 7
199.1,40.01
201.1,40.01
201.83,33.39
205.42,0.73
195.57,0.73
198.5,33.39
199.1,40.01
-2,-2
-1,-1, 5
162.64,20.44
167.32,30.21
173.95,23.56
171.69,2.69
162.63,20.44
-2,-2
-1,-1, 5
165.3,1.14
177.95,15.34
190.04,21.56
184.16,12.65
165.3,1.13
-2,-2
-1,-1, 5
189.34,21.65
192.58,14.48
188.38,0.76
185.3,13.54
189.34,21.65
-2,-2
-1,-1, 5
167.1,30.08
169.66,28.37
168.13,25.19
165.37,27.42
167.1,30.08
-2,-2
-1,-1, 5
166.43,25.34
174.27,28.14
181.66,29.36
175.2,26.88
166.43,25.35
-2,-2
-1,-1, 9
160.8,40.01
163.5,40.02
163.45,36.4
163.35,28.66
162.96,0.5
150.85,-0.02
157.96,28.58
159.9,36.38
160.8,40.01
-2,-2
-1,-1, 8
240.02,40.02
242.31,36.4
247.22,28.66
265.07,0.5
279.89,0.96
251.55,28.72
243.7,36.41
240.02,40.02
-2,-2
